task-type;task-id;task-description;pickup-priority;days;prefs;remarks;prompt
TODO;watch-movie;красный белый и синий;0.2;1;-;-;-
TODO;watch-movie;послесловие;0.2;1;-;-;-
TODO;watch-movie;место на земле;0.2;1;-;-;-
TODO;watch-movie;вор 97;0.2;1;-;-;-
TODO;watch-movie;возвращение 2003;0.2;1;-;-;-
TODO;watch-movie;помни;0.2;1;-;-;-
TODO;watch-movie;12 лет рабства;0.2;1;-;-;-
TODO;watch-movie;человек дождя;0.2;1;-;-;-
TODO;watch-movie;The Place Promised in Our Early Days (2004);0.2;1;-;-;-
TODO;watch-movie;5 Centimeters Per Second (2007) красивый, но не сказать что прям круть.;0.2;1;-;-;-
TODO;watch-movie;Children Who Chase Lost Voices (2011);0.2;1;-;-;-
TODO;watch-movie;The Garden of Words (2013) саный ок для взрослых имхо, но короткий, 40 минут вроде без титров;0.2;1;-;-;-
TODO;watch-movie;Voices of a Distant Star норм идея и арт, и 20 минут;0.2;1;-;-;-
TODO;watch-movie;https://en.wikipedia.org/wiki/Wolf_Children;0.2;1;-;-;-
TODO;watch-movie;https://en.wikipedia.org/wiki/Summer_Wars;0.2;1;-;-;-
TODO;watch-movie;Пипец;0.2;1;-;-;-
TODO;watch-movie;прикосновение;0.2;1;-;-;-
TODO;watch-movie;игра в правду;0.2;1;-;-;-
TODO;watch-movie;упражнения в прекрасном;0.2;1;-;-;-
TODO;watch-movie;война (Балабанов);0.2;1;-;-;-
TODO;watch-movie;Дом;0.2;1;-;-;-
TODO;watch-movie;Дурак;0.2;1;-;-;-
TODO;watch-movie;Упырь;0.2;1;-;-;-
TODO;watch-movie;true detective;0.2;1;-;-;-
TODO;watch-movie;Боги-стражники не ведали войны;0.2;1;-;-;-
TODO;watch-movie;Враг;0.2;1;-;-;-
TODO;watch-movie;Dune 1/2;0.2;1;-;-;-
TODO;watch-movie;Hereditary 	;0.2;1;-;-;-
TODO;watch-movie;тихое место 2018;0.2;1;-;-;-
TODO;watch-movie;мы us 2019;0.2;1;-;-;-
